"Tren","Volume penelusuran","Dimulai","Berakhir","Perincian tren","Jelajahi link"
"ufc","2 rb+","14 Juni 2026 pukul 06.10.00 UTC+7","14 Juni 2026 pukul 12.20.00 UTC+7","ufc","./explore?q=ufc&geo=ID"
"pbx finder","2 rb+","14 Juni 2026 pukul 04.40.00 UTC+7","14 Juni 2026 pukul 12.00.00 UTC+7","pbx finder","./explore?q=pbx%20finder&geo=ID"
"kenan yıldız","2 rb+","14 Juni 2026 pukul 10.40.00 UTC+7","14 Juni 2026 pukul 14.00.00 UTC+7","kenan yıldız","./explore?q=kenan%20y%C4%B1ld%C4%B1z&geo=ID"
"uğurcan çakır","2 rb+","14 Juni 2026 pukul 10.40.00 UTC+7","14 Juni 2026 pukul 14.00.00 UTC+7","uğurcan çakır","./explore?q=u%C4%9Furcan%20%C3%A7ak%C4%B1r&geo=ID"
"lucas paquetá","2 rb+","14 Juni 2026 pukul 04.30.00 UTC+7","14 Juni 2026 pukul 09.10.00 UTC+7","lucas paquetá","./explore?q=lucas%20paquet%C3%A1&geo=ID"
"hakan çalhanoğlu","1 rb+","14 Juni 2026 pukul 10.40.00 UTC+7","14 Juni 2026 pukul 13.50.00 UTC+7","hakan çalhanoğlu,ferdi kadıoğlu","./explore?q=hakan%20%C3%A7alhano%C4%9Flu&geo=ID"
"aaron hickey","1 rb+","14 Juni 2026 pukul 08.00.00 UTC+7","14 Juni 2026 pukul 12.20.00 UTC+7","aaron hickey","./explore?q=aaron%20hickey&geo=ID"
"swiss","2 rb+","14 Juni 2026 pukul 02.00.00 UTC+7","14 Juni 2026 pukul 08.10.00 UTC+7","swiss","./explore?q=swiss&geo=ID"
"klasemen piala dunia 2026","2 rb+","14 Juni 2026 pukul 05.40.00 UTC+7","14 Juni 2026 pukul 11.50.00 UTC+7","klasemen piala dunia 2026","./explore?q=klasemen%20piala%20dunia%202026&geo=ID"
"danilo","2 rb+","14 Juni 2026 pukul 05.00.00 UTC+7","14 Juni 2026 pukul 08.50.00 UTC+7","danilo","./explore?q=danilo&geo=ID"
"neil el aynaoui","2 rb+","14 Juni 2026 pukul 04.30.00 UTC+7","14 Juni 2026 pukul 09.00.00 UTC+7","neil el aynaoui","./explore?q=neil%20el%20aynaoui&geo=ID"
"azzedine ounahi","2 rb+","14 Juni 2026 pukul 04.30.00 UTC+7","14 Juni 2026 pukul 08.40.00 UTC+7","azzedine ounahi","./explore?q=azzedine%20ounahi&geo=ID"
"jean-ricner bellegarde","1 rb+","14 Juni 2026 pukul 07.30.00 UTC+7","14 Juni 2026 pukul 11.00.00 UTC+7","jean-ricner bellegarde","./explore?q=jean-ricner%20bellegarde&geo=ID"
"skor indonesia vs kamboja u 19","2 rb+","14 Juni 2026 pukul 04.00.00 UTC+7","14 Juni 2026 pukul 08.20.00 UTC+7","skor indonesia vs kamboja u 19,nova arianto","./explore?q=skor%20indonesia%20vs%20kamboja%20u%2019&geo=ID"
"vinícius júnior","2 rb+","14 Juni 2026 pukul 05.10.00 UTC+7","14 Juni 2026 pukul 09.20.00 UTC+7","vinícius júnior","./explore?q=vin%C3%ADcius%20j%C3%BAnior&geo=ID"
"neymar","2 rb+","14 Juni 2026 pukul 04.30.00 UTC+7","14 Juni 2026 pukul 08.40.00 UTC+7","neymar","./explore?q=neymar&geo=ID"
"alessandro circati","1 rb+","14 Juni 2026 pukul 11.30.00 UTC+7","14 Juni 2026 pukul 14.00.00 UTC+7","alessandro circati","./explore?q=alessandro%20circati&geo=ID"
"live score","2 rb+","14 Juni 2026 pukul 05.40.00 UTC+7","14 Juni 2026 pukul 08.50.00 UTC+7","live score","./explore?q=live%20score&geo=ID"
"frantzdy pierrot","1 rb+","14 Juni 2026 pukul 07.20.00 UTC+7","14 Juni 2026 pukul 10.40.00 UTC+7","frantzdy pierrot","./explore?q=frantzdy%20pierrot&geo=ID"
"chadi riad","2 rb+","14 Juni 2026 pukul 04.30.00 UTC+7","14 Juni 2026 pukul 08.30.00 UTC+7","chadi riad","./explore?q=chadi%20riad&geo=ID"
"penerbangan","2 rb+","13 Juni 2026 pukul 23.00.00 UTC+7","14 Juni 2026 pukul 09.20.00 UTC+7","penerbangan","./explore?q=penerbangan&geo=ID"
"che adams","1 rb+","14 Juni 2026 pukul 07.20.00 UTC+7","14 Juni 2026 pukul 10.30.00 UTC+7","che adams","./explore?q=che%20adams&geo=ID"
"andrew robertson","1 rb+","14 Juni 2026 pukul 07.50.00 UTC+7","14 Juni 2026 pukul 11.00.00 UTC+7","andrew robertson","./explore?q=andrew%20robertson&geo=ID"
"real madrid c.f.","2 rb+","14 Juni 2026 pukul 04.10.00 UTC+7","14 Juni 2026 pukul 08.00.00 UTC+7","real madrid c.f.","./explore?q=real%20madrid%20c.f.&geo=ID"
"noussair mazraoui","1 rb+","14 Juni 2026 pukul 04.40.00 UTC+7","14 Juni 2026 pukul 08.20.00 UTC+7","noussair mazraoui","./explore?q=noussair%20mazraoui&geo=ID"
